departement,BOVINS,PORCS,VOLAILLES,dominant_type
10,5.0,3.0,12.0,VOLAILLES
11,1.0,9.0,3.0,PORCS
12,16.0,99.0,1.0,PORCS
13,,5.0,1.0,PORCS
14,48.0,45.0,1.0,BOVINS
15,7.0,10.0,,PORCS
16,9.0,46.0,,PORCS
17,5.0,5.0,,BOVINS
18,5.0,5.0,10.0,VOLAILLES
19,19.0,28.0,,PORCS
21,6.0,8.0,13.0,VOLAILLES
22,146.0,1166.0,117.0,PORCS
23,20.0,19.0,,BOVINS
24,16.0,28.0,5.0,PORCS
25,7.0,25.0,,PORCS
26,6.0,36.0,44.0,VOLAILLES
27,9.0,16.0,3.0,PORCS
28,2.0,17.0,6.0,PORCS
29,179.0,780.0,62.0,PORCS
31,4.0,3.0,,BOVINS
32,13.0,24.0,14.0,PORCS
33,3.0,,2.0,BOVINS
34,1.0,2.0,1.0,PORCS
35,203.0,514.0,39.0,PORCS
36,9.0,30.0,11.0,PORCS
37,14.0,28.0,5.0,PORCS
38,9.0,16.0,1.0,PORCS
39,5.0,15.0,3.0,PORCS
40,1.0,15.0,27.0,VOLAILLES
41,6.0,21.0,14.0,PORCS
42,21.0,36.0,4.0,PORCS
43,13.0,29.0,1.0,PORCS
44,46.0,118.0,41.0,PORCS
45,3.0,9.0,15.0,VOLAILLES
46,5.0,34.0,1.0,PORCS
47,8.0,1.0,8.0,BOVINS
48,1.0,4.0,,PORCS
49,53.0,129.0,35.0,PORCS
50,151.0,148.0,11.0,BOVINS
51,12.0,29.0,8.0,PORCS
52,22.0,4.0,1.0,BOVINS
53,96.0,215.0,33.0,PORCS
54,14.0,10.0,,BOVINS
55,19.0,14.0,2.0,BOVINS
56,119.0,702.0,188.0,PORCS
57,10.0,5.0,4.0,BOVINS
58,4.0,14.0,5.0,PORCS
59,39.0,180.0,26.0,PORCS
60,7.0,4.0,7.0,BOVINS
61,38.0,53.0,7.0,PORCS
62,22.0,122.0,12.0,PORCS
63,14.0,36.0,12.0,PORCS
64,15.0,104.0,11.0,PORCS
65,4.0,19.0,3.0,PORCS
66,1.0,,,BOVINS
67,10.0,29.0,8.0,PORCS
68,8.0,9.0,,PORCS
69,4.0,3.0,2.0,BOVINS
70,14.0,15.0,,PORCS
71,27.0,24.0,14.0,BOVINS
72,29.0,153.0,101.0,PORCS
73,4.0,5.0,,PORCS
74,5.0,6.0,1.0,PORCS
76,27.0,28.0,1.0,PORCS
77,3.0,1.0,3.0,BOVINS
79,30.0,94.0,45.0,PORCS
80,37.0,48.0,9.0,PORCS
81,3.0,46.0,4.0,PORCS
82,6.0,8.0,4.0,PORCS
84,,,1.0,VOLAILLES
85,91.0,241.0,163.0,PORCS
86,13.0,27.0,3.0,PORCS
87,15.0,11.0,1.0,BOVINS
88,26.0,5.0,,BOVINS
89,9.0,26.0,5.0,PORCS
90,1.0,,1.0,BOVINS
93,,,1.0,VOLAILLES
971,,6.0,1.0,PORCS
972,,3.0,,PORCS
973,,2.0,,PORCS
974,1.0,23.0,7.0,PORCS
